Filename,Sample ID,Mass (g),Sample type,Unique ID,Site,Cyromazine,Acephate,Dinotefuran,Thiabendazole,Thiamethoxam,Clothianidin,Mevinphos,Imidacloprid,Acetamiprid,Flupyradifurone,Thiacloprid,Sulfoxaflor,Tebuthiuron,Prometon,Cyanazine,Thiophanate-methyl,Ametryn,Methoprotryne,Bendiocarb,Malaoxon,Carbofuran,Pyrimethanil,Carbaryl,Fluometuron,Atrazine,Hydroxychlorothalonil ,Sulfentrazone,Diuron,Metalaxyl,Cyantraniliprole,Metobromuron,Prometryn,Terbutryn,Metazachlor,Clomazone,Propazine,Chlorantraniliprole,Methiocarb,Phenmedipham,Fluazifop,Flumioxazin,Fludioxonil,Cyprodinil,Spirotetramat,Phosmet,Bromuconazole,Azoxystrobin,Myclobutanil,Fenamidone,Triadimefon,Boscalid,Fluxapyroxad,Mandipropamid,Fenhexamid,Napropamide,Fluopicolide,Tetraconazole,Tebuconazole,Spinosad,Fluopyram,Methoxyfenozide,Diflubenzuron,Fenbuconazole,Metolachlor,Metconazole,Flufenacet,Dimoxystrobin,Propiconazole,Fluoxastrobin,Fumagillin,Tebufenozide,Spinetoram,Triflumizole,Fipronil,Picoxystrobin,Difenoconazole,Penthiopyrad,Coumaphos,Pyraclostrobin,Thiobencarb,Hexaflumuron,Profenophos,Cyflufenamid,Indoxacarb,Trifloxystrobin,Piperonyl butoxide,Tetramethrin,Fluazinam,Chlorpyrifos,Fenpyroximate,Amitraz,Avermectin B1a,Number of Pesticides Per Sample,ppb
2020nov10_USDA_fungicides_2019_sample_059,Wax_08,4.76,Bumble bee wax,,BakersAcres,0,0,0,0,0.9,1.5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.4,0,0,6.6,0,0,2,0,0,0,0,0,0,0,0.2,5,0,0,0,0,0,12.9,0,0,0,0.5,0,0,0,0,43.2,0.3,0,0,0,0,2,0,0.1,0.5,0,0.6,16,0,0,0,2,0,0,0,0,0,0,0.1,91.3,0,0,60,0,0,0,0,0,194.3,0.8,0,0,0,0,0,0,23,441.7
2020nov10_USDA_fungicides_2019_sample_181,Pollen_17,3.77,Honey bee pollen,,BakersAcres,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0.4,0,0,0,0,0,63.4,0,0,0,0,0,0,0,7,79.8
2020nov10_USDA_fungicides_2019_sample_195,Nectar_10,5.02,Nectar,,BakersAcres,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,4,1.9
2020nov10_USDA_fungicides_2019_sample_230,Apple flower_23,1.75,Apple flower,,BakersAcres,0,0,0,0.5,0,0,0,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,1000,0,0,0,3.8,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,5.4,0.5,0,0,0,0,0,0,0,0,0,0,0,3378.3,0,0,17.6,0,0,0,0,3,4416.7,0,0,0,0,0,0,0,15,8852.6
2020nov10_USDA_fungicides_2019_sample_231,Apple flower_24,1.21,Apple flower,,BakersAcres,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,624.4,0,0,0,2.9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,3123.4,0,0,12.9,0,0,0,0,0,3412.6,0,0,0,0,0,0,0,12,7198.8
2020nov10_USDA_fungicides_2019_sample_274,Dandelion flower_25,3.61,Dandelion flower,,BakersAcres,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,66.6,0,0,0,0.6,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,2.3,0.5,0,0,0,0,0,0,0,0,0,0,0,457.7,0,0,1.7,0,0,0,0,0,1258.5,0,0,0,0,0,0,0,12,1794.4
2020nov10_USDA_fungicides_2019_sample_275,Dandelion flower_26,3.39,Dandelion flower,,BakersAcres,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,61.7,0,0,0,0.6,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,439.4,0,0,1.1,0,0,0,0,0,1171,0,0,0,0,0,0,0,11,1678.5
2020nov10_USDA_fungicides_2019_sample_031,Mason bee pollen_15,0.507,Mason bee pollen provision,,BakersAcres,0,0,0,0.1,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,5.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.21,1,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,44.3,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,2,0,0,0,0,0,2.4,0,0,0,0,0,0,0.21,14,61.4
2020nov10_USDA_fungicides_2019_sample_037,Bumblebee Queen_03,0.53,Bombus impatiens queen,BA517.CUBI1,BakersAcres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,0.3,0,0,0,0,0,152.7,0,0,0,0,0,0,0,6,208.9
2020nov10_USDA_fungicides_2019_sample_075,Xylocopa_03,0.305,Xylocopa virginica,BA517.PMXV1,BakersAcres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0.4,0,0,0,0,0,43.2,0,0,0,0,0,0,0,4,59.8
