Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Other Crops,Onions,Peas,Caneberries,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Strawberries,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Radishes,total,perc_cornsoy,perc_ag,perc_nat,perc_apple,perc_developed,site
7178400,0,532800,125100,900,10800,6300,143100,75600,249300,900,4754700,1295100,1800,4500,0,0,0,0,0,0,31500,0,500400,0,0,900,900,0,0,68400,1043100,135900,11700,2700,5400,7112700,234900,567900,1227600,1943100,910800,75600,12600,0,0,0,2700,0,900,900,3600,0,0,28273500,27.2735954162024,50.9374502626134,48.7505968486392,0.00318319274232055,14400,BakersAcres
3666600,900,1296900,0,5400,25200,1800,495900,9000,103500,0,1951200,787500,7200,3600,0,0,0,0,0,0,6300,0,645300,0,0,1800,2700,0,0,2084400,2991600,758700,207000,47700,13500,6853500,167400,620100,1768500,3191400,482400,69300,9900,0,0,0,0,900,0,2700,0,0,1800,28281600,17.5502800407332,29.6111252545825,62.0703920570265,0.00636456211812627,254700,BlackDiamond
2355300,0,495900,71100,26100,6300,0,89100,20700,56700,0,1853100,628200,3600,11700,0,0,0,0,0,0,61200,0,486900,900,0,9000,2700,900,0,11533500,522000,153000,22500,900,900,4848300,85500,632700,1244700,2321100,612000,80100,27900,0,0,0,0,2700,0,0,1800,0,0,28269000,10.0859598853868,20.0350206940465,39.0799108564152,0.0318369945877109,23400,CULansing
487800,900,490500,0,7200,8100,0,75600,9900,14400,900,855900,1072800,2700,3600,0,0,0,0,0,0,9900,0,287100,0,0,0,2700,0,0,157500,5741100,3203100,1821600,489600,31500,5237100,607500,2408400,1581300,2717100,870300,76500,4500,0,0,0,0,0,0,0,0,0,900,28278000,3.4595798854233,10.7447485677912,80.4137492043285,0,2311200,CUOrchard
310500,0,52200,0,10800,0,0,24300,2700,31500,0,186300,1827000,900,3600,0,0,0,0,0,900,5400,0,49500,0,0,0,0,0,0,49500,1396800,222300,53100,2700,3600,14684400,1249200,5121000,251100,2483100,198900,50400,900,0,0,0,0,0,0,0,0,0,0,28272600,1.28286751130069,8.67129305405233,90.9435283631502,0,55800,EvesCidery
656100,0,11700,0,1800,0,0,18900,0,1800,0,67500,348300,0,0,0,0,0,0,0,0,0,0,100800,18900,0,4086000,1800,0,0,32400,2576700,739800,270900,76500,13500,8488800,239400,1278900,285300,5268600,3294900,117000,0,0,0,0,0,0,0,0,900,0,900,27998100,2.38516185026841,18.6248352566781,79.9704265646597,14.5938474396477,347400,Fruition
6804000,0,1226700,0,4500,5400,900,278100,9000,63900,0,4810500,1653300,26100,2700,0,0,0,1800,0,0,4500,0,414900,0,0,1800,4500,0,0,16200,861300,95400,12600,0,6300,8037000,75600,329400,824400,1998900,639900,41400,4500,0,0,0,0,0,0,9000,0,0,3600,28268100,28.4090547295361,52.7460282084753,47.1298035594893,0.00636760164284122,12600,Grisamore
2324700,0,1496700,0,2700,0,0,435600,5400,63000,0,652500,965700,900,2700,0,900,0,900,0,0,1800,0,987300,0,0,65700,900,6300,900,165600,1950300,207000,30600,2700,492300,7694100,146700,280800,306000,6300000,3416400,265500,0,0,0,0,0,0,0,0,0,0,0,28272600,13.5162666327115,21.3121538167696,76.2430763353919,0.23238046730757,33300,GS
263700,0,9900,0,0,4500,0,10800,2700,104400,0,203400,2938500,0,900,0,0,0,900,900,0,9900,0,421200,0,0,900,0,0,0,136800,1097100,109800,24300,0,2700,11517300,859500,4203000,1903500,3804300,606600,31500,0,0,0,0,0,0,0,0,0,0,1800,28270800,0.967783012861327,12.5334267159048,86.8871768750796,0.00318349675283331,24300,HemlockGrove
4073400,0,1321200,0,0,2700,0,1214100,70200,68400,3600,4124700,308700,900,107100,0,0,0,900,0,0,14400,0,1431000,0,0,449100,75600,0,0,21600,2884500,1604700,717300,235800,53100,3365100,34200,265500,178200,3798000,1607400,116100,63000,0,0,19800,6300,0,0,0,12600,10800,16200,28276200,19.0782354064549,42.2592144630467,54.1059265389267,1.58826150614298,953100,HomeSouth
2123100,0,751500,900,2700,10800,0,144000,14400,39600,900,1117800,2502000,43200,10800,0,0,0,900,0,0,20700,0,400500,0,0,2700,900,0,0,3913200,1616400,537300,155700,27900,6300,7763400,226800,871200,1390500,3819600,645300,96300,4500,0,0,0,2700,0,3600,900,8100,0,900,28278000,10.1654996817314,24.0006365372374,61.4894971355824,0.00954805856142584,183600,IndianCreek
2888100,900,1047600,0,4500,20700,1800,262800,6300,96300,0,1917900,701100,7200,1800,0,0,0,0,0,0,4500,0,510300,0,0,3600,3600,0,0,4212000,2125800,697500,185400,40500,7200,6140700,109800,572400,1196100,2664000,533700,66600,9900,0,0,0,0,0,0,1800,0,0,1800,26044200,15.1116179418066,26.7917616974221,56.1407146312807,0.0138226553320893,225900,Kingtown
243900,0,148500,0,0,0,0,26100,0,15300,900,81000,538200,0,900,0,0,0,3600,0,0,0,0,237600,0,0,3783600,0,0,0,83700,746100,29700,5400,3600,9000,3195900,40500,300600,117000,2786400,1143000,46800,0,0,0,0,0,0,0,0,0,0,0,13587300,2.88799099158773,35.6362191163807,63.6152878055243,27.8465920381533,9000,LakeBreeze
2094300,0,1179900,0,0,900,0,846000,8100,10800,0,1809900,333000,0,24300,0,0,0,0,0,0,3600,0,814500,0,0,379800,45000,900,0,9070200,2768400,607500,160200,64800,12600,3534300,34200,238500,184500,2952000,909900,110700,1800,0,0,18000,0,0,0,0,57600,0,1800,28278000,11.5786123488224,24.0897517504774,42.9949077021006,1.3430935709739,225000,LakeFarm
458100,0,333000,0,900,35100,0,269100,9900,117000,0,389700,2297700,52200,900,0,0,0,0,0,0,7200,0,296100,0,0,900,1800,900,0,5400,1125000,171900,55800,28800,3600,11007000,361800,2585700,1416600,3022200,270900,16200,240300,0,0,0,0,0,0,0,0,0,900,24582600,3.21812989675624,17.1194259354177,82.4998169436919,0.00366112616240756,84600,LittleTree
522900,0,138600,0,0,0,0,61200,900,14400,0,191700,672300,0,900,0,0,0,2700,0,0,900,0,521100,0,0,2159100,17100,0,0,100800,1759500,511200,107100,42300,53100,7639200,155700,1001700,354600,6757200,4324500,416700,0,0,0,0,0,0,0,0,0,0,900,27528300,2.40298165887468,13.7411318534018,85.1570928825972,7.84320136005493,149400,LM1
